price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
889000.0,1.0,53385,32767,6673360901,2,1,False,2023-12-24 22:56:13.000,90,60003760,10000002,30000142,0,
889100.0,1.0,53385,32767,6672921888,1,1,False,2023-12-24 21:09:30.000,90,60003760,10000002,30000142,0,
889300.0,2.0,53385,32767,6672352057,9,1,False,2023-12-24 19:40:15.000,90,60003760,10000002,30000142,0,
889400.0,2.0,53385,32767,6674065280,2,1,False,2023-12-24 19:07:51.000,7,60003760,10000002,30000142,0,
889600.0,1.0,53385,32767,6649023832,4,1,False,2023-12-24 12:12:57.000,90,60003760,10000002,30000142,0,
889800.0,2.0,53385,32767,6673167248,2,1,False,2023-12-23 18:14:15.000,90,60003760,10000002,30000142,0,
889900.0,2.0,53385,32767,6668733725,2,1,False,2023-12-23 16:45:49.000,90,60003760,10000002,30000142,0,
890000.0,1.0,53385,32767,6672944019,1,1,False,2023-12-23 13:13:34.000,90,60003760,10000002,30000142,0,
894500.0,2.0,53385,32767,6607033764,2,1,False,2023-12-20 21:09:29.000,90,60003760,10000002,30000142,0,
894700.0,1.0,53385,32767,6670247545,1,1,False,2023-12-20 04:08:05.000,90,60003760,10000002,30000142,0,
895000.0,1.0,53385,32767,6669583653,1,1,False,2023-12-19 09:57:15.000,90,60003760,10000002,30000142,0,
895600.0,14.0,53385,32767,6668975013,14,1,False,2023-12-18 16:27:32.000,90,60003760,10000002,30000142,0,
896100.0,1.0,53385,32767,6648986103,1,1,False,2023-12-17 06:46:03.000,30,60003760,10000002,30000142,0,
897200.0,2.0,53385,32767,6661986591,2,1,False,2023-12-10 14:23:57.000,90,60003760,10000002,30000142,0,
899900.0,3.0,53385,32767,6657017482,3,1,False,2023-12-05 00:35:31.000,90,60003760,10000002,30000142,0,
1160000.0,2.0,53385,32767,6654697927,2,1,False,2023-12-02 16:46:21.000,90,60003760,10000002,30000142,0,
1168000.0,1.0,53385,32767,6650564091,1,1,False,2023-11-27 18:13:16.000,30,60003760,10000002,30000142,0,
1169000.0,4.0,53385,32767,6649714250,4,1,False,2023-11-26 18:39:43.000,90,60003760,10000002,30000142,0,
1190000.0,1.0,53385,32767,6616539697,1,1,False,2023-11-20 00:20:39.000,90,1029036975486,10000002,30000144,1,
1199000.0,4.0,53385,32767,6626296272,5,1,False,2023-10-30 23:01:47.000,90,60003760,10000002,30000142,0,
1200000.0,1.0,53385,32767,6626251713,1,1,False,2023-10-30 21:49:37.000,90,60003760,10000002,30000142,0,
